Company,Quarter,Quarter ROI (%),ROI on $1500 ($),Cumulative ROI on $1500 ($),Cumulative ROI (%)
Chevron,2021Q1,23.06517796559219,345.97766948388283,1845.977669483883,23.0651779655922
Chevron,2021Q2,-0.49401886937825945,-7.4102830406738915,1838.567386443209,22.57115909621392
Chevron,2021Q3,-5.1425901420658215,-77.13885213098732,1761.4285343122217,17.428568954148105
Chevron,2021Q4,14.801405862587307,222.02108793880961,1983.4496222510313,32.22997481673542
ConocoPhillips,2021Q1,30.790126470871915,461.8518970630787,1961.8518970630787,30.79012647087191
ConocoPhillips,2021Q2,14.646089515119076,219.69134272678613,2181.543239789865,45.436215985991
ConocoPhillips,2021Q3,8.103362781368919,121.55044172053377,2303.0936815103987,53.5395787673599
ConocoPhillips,2021Q4,5.557185148275023,83.35777722412534,2386.451458734524,59.09676391563491
ExxonMobil,2021Q1,34.692402420828,520.3860363124201,2020.38603631242,34.69240242082802
ExxonMobil,2021Q2,12.002844767152423,180.04267150728634,2200.4287078197067,46.69524718798044
ExxonMobil,2021Q3,-8.565213709617165,-128.47820564425746,2071.950502175449,38.13003347836326
ExxonMobil,2021Q4,2.9961265508645027,44.94189826296754,2116.8924004384166,41.126160029227776
AT&T,2021Q1,2.994212535825267,44.91318803737901,1544.913188037379,2.994212535825284
AT&T,2021Q2,-4.828039577528374,-72.42059366292561,1472.4925943744533,-1.8338270417031026
AT&T,2021Q3,-6.507439495018002,-97.61159242527003,1374.8810019491834,-8.341266536721108
AT&T,2021Q4,-9.35888636872864,-140.38329553092962,1234.4977064182538,-17.700152905449755
T-Mobile,2021Q1,-6.708862197685958,-100.63293296528937,1399.3670670347105,-6.70886219768596
T-Mobile,2021Q2,15.072303455195524,226.08455182793284,1625.4516188626435,8.363441257509564
T-Mobile,2021Q3,-11.60923753240012,-174.13856298600183,1451.3130558766416,-3.2457962748905658
T-Mobile,2021Q4,-8.734654008644005,-131.01981012966007,1320.2932457469815,-11.980450283534566
Verizon,2021Q1,-1.3738086349581813,-20.60712952437272,1479.3928704756272,-1.3738086349581806
Verizon,2021Q2,-3.4298546410999107,-51.44781961649866,1427.9450508591285,-4.803663276058103
Verizon,2021Q3,-3.8625880595494744,-57.93882089324212,1370.0062299658864,-8.666251335607583
Verizon,2021Q4,-3.813404953414722,-57.201074301220835,1312.8051556646656,-12.479656289022302
